release_date,movie,genres,vote_count,num_votes,vote_average,popularity,average_rating,domestic_box_office,production_budget,rio_percentage,opening_weekend_box_office,multiplier,max_theatre_count,distributor,primary_name,primary_profession
2010-02-18,shutter island,"mystery,thriller",12625,1005960,8.1,18.1,8.1,128012934,80000000,160,41062440,3.1,3356,Paramount…,Laeta Kalogridis,"writer,producer,miscellaneous"
2010-06-23,knight and day,"action,adventure,comedy",2494,169840,6.0,17.7,6.3,76423035,117000000,65,20139985,3.8,3104,20th Cent…,Patrick O'Neill,"writer,producer,actor"
2010-08-06,step up 3d,"drama,music,romance",1160,53081,6.7,17.2,6.2,42400223,30000000,141,15812311,2.7,2439,Walt Disney,Duane Adler,"writer,miscellaneous,producer"
2010-06-11,the a-team,"action,adventure,thriller",2703,235256,6.3,17.1,6.8,77222099,110000000,70,25669455,3.0,3544,20th Cent…,Stephen J. Cannell,"writer,producer,actor"
2010-07-01,the last airbender,"action,adventure,family",2143,137734,4.6,16.6,4.1,131772187,150000000,87,40325019,3.3,3203,Paramount…,M. Night Shyamalan,"producer,writer,director"
2010-07-03,predators,"action,adventure,sci-fi",1979,199764,6.1,16.2,6.4,52000688,40000000,130,24760882,2.1,2669,20th Cent…,Alex Litvak,"writer,actor,editor"
2010-10-01,the social network,"biography,drama",6116,568578,7.2,15.9,7.7,96962694,40000000,242,22445653,4.3,2921,Sony Pict…,Ben Mezrich,"writer,producer"
2010-04-02,clash of the titans,"action,adventure,fantasy",3714,256176,5.7,15.6,5.8,163214888,125000000,130,61235105,2.7,3802,Warner Bros.,Phil Hay,"writer,producer,actor"
2010-04-23,the back-up plan,"comedy,romance",806,46128,6.0,15.5,5.4,37490007,35000000,107,12201710,3.1,3280,CBS Films,Kate Angelo,"producer,writer,miscellaneous"
2010-05-14,robin hood,"action,adventure,drama",2569,239480,6.3,15.4,6.6,30824628,210000000,14,9195670,3.4,2939,Lionsgate,Brian Helgeland,"writer,director,producer"
2010-05-14,robin hood,"action,adventure,drama",2569,239480,6.3,15.4,6.6,30824628,99000000,31,9195670,3.4,2939,Lionsgate,Brian Helgeland,"writer,director,producer"
2010-05-14,robin hood,"action,adventure,drama",2569,239480,6.3,15.4,6.6,105487148,210000000,50,36063385,2.9,3505,Universal,Brian Helgeland,"writer,director,producer"
2010-05-14,robin hood,"action,adventure,drama",2569,239480,6.3,15.4,6.6,105487148,99000000,106,36063385,2.9,3505,Universal,Brian Helgeland,"writer,director,producer"
2013-01-31,robin hood,"action,adventure,drama",3,239480,5.7,0.7,6.6,30824628,210000000,14,9195670,3.4,2939,Lionsgate,Brian Helgeland,"writer,director,producer"
2013-01-31,robin hood,"action,adventure,drama",3,239480,5.7,0.7,6.6,30824628,99000000,31,9195670,3.4,2939,Lionsgate,Brian Helgeland,"writer,director,producer"
2013-01-31,robin hood,"action,adventure,drama",3,239480,5.7,0.7,6.6,105487148,210000000,50,36063385,2.9,3505,Universal,Brian Helgeland,"writer,director,producer"
2013-01-31,robin hood,"action,adventure,drama",3,239480,5.7,0.7,6.6,105487148,99000000,106,36063385,2.9,3505,Universal,Brian Helgeland,"writer,director,producer"
2018-11-21,robin hood,"action,adventure,drama",1194,239480,5.8,40.0,6.6,30824628,210000000,14,9195670,3.4,2939,Lionsgate,Brian Helgeland,"writer,director,producer"
2018-11-21,robin hood,"action,adventure,drama",1194,239480,5.8,40.0,6.6,30824628,99000000,31,9195670,3.4,2939,Lionsgate,Brian Helgeland,"writer,director,producer"
2018-11-21,robin hood,"action,adventure,drama",1194,239480,5.8,40.0,6.6,105487148,210000000,50,36063385,2.9,3505,Universal,Brian Helgeland,"writer,director,producer"
2018-11-21,robin hood,"action,adventure,drama",1194,239480,5.8,40.0,6.6,105487148,99000000,106,36063385,2.9,3505,Universal,Brian Helgeland,"writer,director,producer"
2010-08-20,nanny mcphee and the big bang,"comedy,family,fantasy",953,25048,6.1,15.2,6.1,29197642,35000000,83,8407685,3.5,2798,Universal,Emma Thompson,"actress,writer,soundtrack"
2010-05-16,shrek forever after,"adventure,animation,comedy",3843,167532,6.1,15.0,6.3,238736787,165000000,144,70838207,3.4,4386,Paramount…,Andrew Adamson,"producer,writer,director"
2010-09-17,easy a,"comedy,drama,romance",4168,330125,6.8,14.7,7.1,58401464,8000000,730,17734040,3.3,2974,Sony Pict…,Bert V. Royal,"writer,producer,casting_department"
2010-07-13,the sorcerer's apprentice,"action,adventure,family",2879,143862,5.9,14.5,6.1,63150991,160000000,39,17619622,3.6,3504,Walt Disney,Carlo Bernard,"writer,producer,miscellaneous"
2010-08-13,scott pilgrim vs the world,"action,comedy,fantasy",3882,339338,7.3,14.4,7.5,32841100,85000000,38,10609795,3.1,2820,Universal,Michael Bacall,"actor,writer,soundtrack"
2010-06-24,grown ups,comedy,3171,210377,6.1,14.3,6.0,162001186,75000000,216,40506564,4.0,3534,Sony Pict…,Adam Sandler,"actor,producer,writer"
2010-11-23,faster,"action,crime,drama",895,93618,6.2,14.2,6.5,23240020,24000000,96,8523153,2.7,2470,CBS Films,Joe Gayton,"writer,miscellaneous,producer"
2010-02-12,the wolfman,"drama,fantasy,horror",1009,97873,5.7,14.0,5.8,62189884,150000000,41,31479235,2.0,3223,Universal,Andrew Kevin Walker,"writer,actor,miscellaneous"
2010-11-12,unstoppable,"action,thriller",1913,173019,6.4,14.0,6.8,81562942,95000000,85,22688457,3.6,3261,20th Cent…,Mark Bomback,"producer,writer"
2013-09-24,unstoppable,"action,thriller",4,173019,1.6,0.6,6.8,81562942,95000000,85,22688457,3.6,3261,20th Cent…,Mark Bomback,"producer,writer"
2010-12-03,black swan,"drama,thriller",8374,648854,7.6,13.7,8.0,106954678,13000000,822,1443809,74.1,2407,Fox Searc…,Andres Heinz,"writer,director"
2010-08-06,the other guys,"action,comedy,crime",2187,221664,6.2,13.5,6.7,119219978,100000000,119,35543162,3.4,3651,Sony Pict…,Chris Henchy,"producer,writer,actor"
2010-09-17,the town,"crime,drama,thriller",2386,322524,7.1,13.5,7.6,92186262,37000000,249,23808032,3.9,2935,Warner Bros.,Ben Affleck,"producer,actor,writer"
2010-06-18,jonah hex,"action,drama,fantasy",708,51860,4.6,13.5,4.7,10547117,47000000,22,5379365,2.0,2825,Warner Bros.,Mark Neveldine,"actor,director,writer"
2010-12-22,true grit,"adventure,drama,western",2816,284034,7.2,13.1,7.6,171243005,35000000,489,24830443,6.9,3464,Paramount…,Ethan Coen,"producer,writer,director"
2010-10-08,i spit on your grave,"horror,thriller",977,68592,6.3,13.1,6.3,93051,1750000,5,32440,2.9,12,Anchor Ba…,Meir Zarchi,"producer,writer,director"
2010-04-16,kick-ass,"action,comedy",7540,497363,7.1,13.1,7.6,48071303,28000000,171,19828687,2.4,3065,Lionsgate,Matthew Vaughn,"producer,writer,director"
2010-07-23,salt,"action,mystery,thriller",3240,277204,6.3,13.0,6.4,118311368,130000000,91,36011243,3.3,3612,Sony Pict…,Kurt Wimmer,"writer,director,actor"
2012-08-06,salt,"action,mystery,thriller",1,277204,1.0,0.6,6.4,118311368,130000000,91,36011243,3.3,3612,Sony Pict…,Kurt Wimmer,"writer,director,actor"
2010-01-22,tooth fairy,"comedy,family,fantasy",1058,37939,5.3,12.6,5.0,60022256,48000000,125,14010409,4.3,3345,20th Cent…,Lowell Ganz,"writer,producer,miscellaneous"
2010-09-03,machete,"action,crime,thriller",1862,182320,6.3,12.6,6.6,26593646,12500000,212,11416164,2.3,2678,20th Cent…,Robert Rodriguez,"producer,writer,director"
2010-04-08,date night,"comedy,crime,romance",1743,144683,6.0,12.5,6.3,98711404,55000000,179,25207599,3.9,3380,20th Cent…,Josh Klausner,"writer,assistant_director,director"
2010-11-04,due date,"adventure,comedy",2973,303523,6.3,12.4,6.5,100539043,65000000,154,32689406,3.1,3365,Warner Bros.,Alan R. Cohen,"producer,writer,miscellaneous"
2010-03-19,repo men,"action,crime,sci-fi",976,96144,6.2,12.4,6.3,13942007,32000000,43,6126170,2.3,2521,Universal,Garrett Lerner,"producer,writer,miscellaneous"
2010-06-10,the karate kid,"action,drama,family",3140,146401,6.3,12.3,6.2,176591618,40000000,441,55665805,3.2,3740,Sony Pict…,Robert Mark Kamen,"writer,producer,miscellaneous"
2010-03-19,diary of a wimpy kid,"comedy,drama,family",736,38640,6.0,12.3,6.2,64003625,15000000,426,22126166,2.9,3083,20th Cent…,Gabe Sachs,"writer,producer,director"
2010-02-26,the crazies,"horror,thriller",1036,104465,6.2,12.2,6.5,39123589,19000000,205,16067552,2.4,2479,Overture …,George A. Romero,"producer,writer,director"
2010-12-21,little fockers,"comedy,romance",1883,99222,5.6,12.2,5.5,148438600,100000000,148,30833665,4.8,3675,Universal,Mary Ruth Clarke,"writer,actress"
2010-10-14,red,"action,comedy,crime",4162,271570,6.6,12.1,7.1,90380162,60000000,150,21761408,4.2,3349,Summit En…,Erich Hoeber,"writer,producer,actor"
2010-10-14,red,thriller,4162,9,6.6,12.1,5.8,90380162,60000000,150,21761408,4.2,3349,Summit En…,Danielle Colman,"director,writer,assistant_director"
2014-01-01,red,"action,comedy,crime",1,271570,5.0,0.6,7.1,90380162,60000000,150,21761408,4.2,3349,Summit En…,Erich Hoeber,"writer,producer,actor"
2014-01-01,red,thriller,1,9,5.0,0.6,5.8,90380162,60000000,150,21761408,4.2,3349,Summit En…,Danielle Colman,"director,writer,assistant_director"
2010-02-04,dear john,"drama,romance,war",2676,128657,6.8,12.0,6.3,80014842,25000000,320,30468614,2.6,3062,Sony Pict…,Nicholas Sparks,"writer,producer"
2010-01-22,legion,"action,fantasy,horror",1154,92709,5.3,12.0,5.2,40168080,26000000,154,17501625,2.3,2476,Sony Pict…,Peter Schink,"writer,editor,editorial_department"
2016-10-25,legion,"action,fantasy,horror",4,92709,7.5,1.6,5.2,40168080,26000000,154,17501625,2.3,2476,Sony Pict…,Peter Schink,"writer,editor,editorial_department"
2010-01-08,leap year,"comedy,romance",990,86125,6.7,11.8,6.5,25918920,19000000,136,9202815,2.8,2512,Universal,Harry Elfont,"writer,producer,miscellaneous"
2011-06-24,leap year,"comedy,romance",30,86125,5.6,2.6,6.5,25918920,19000000,136,9202815,2.8,2512,Universal,Harry Elfont,"writer,producer,miscellaneous"
2010-10-02,life as we know it,"comedy,drama,romance",1748,113077,6.8,11.8,6.6,53374681,38000000,140,14506464,3.7,3150,Warner Bros.,Ian Deitchman,"producer,miscellaneous,writer"
2010-03-11,green zone,"action,drama,thriller",1176,122132,6.4,11.5,6.8,35497337,100000000,35,14309295,2.5,3004,Universal,Brian Helgeland,"writer,director,producer"
2010-03-12,remember me,"drama,romance",2079,129443,7.1,11.5,7.1,19068240,16000000,119,8089139,2.4,2215,Summit En…,Will Fetters,"writer,producer"
2010-11-05,127 hours,"adventure,biography,drama",4469,323949,7.0,11.4,7.6,18335230,18000000,101,264851,69.2,916,Fox Searc…,Danny Boyle,"director,producer,writer"
2010-08-20,piranha 3d,"comedy,horror",1029,81327,5.3,11.3,5.4,25003155,24000000,104,10106872,2.5,2491,Weinstein…,Josh Stolberg,"miscellaneous,writer,assistant_director"
2010-01-29,edge of darkness,"crime,drama,mystery",794,84753,6.3,11.3,6.6,43313890,60000000,72,17214384,2.5,3066,Warner Bros.,Andrew Bovell,"writer,miscellaneous,producer"
2015-11-01,edge of darkness,"crime,drama,mystery",1,84753,7.0,0.6,6.6,43313890,60000000,72,17214384,2.5,3066,Warner Bros.,Andrew Bovell,"writer,miscellaneous,producer"
2010-02-11,valentine's day,"comedy,romance",1907,107171,5.8,11.2,5.7,110485654,52000000,212,56260707,2.0,3665,Warner Bros.,Katherine Fugate,"writer,producer,director"
2010-11-19,the next three days,"action,crime,drama",1469,168066,7.0,11.1,7.4,21148651,30000000,70,6542779,3.2,2564,Lionsgate,Fred Cavayé,"writer,director,assistant_director"
2010-09-24,buried,thriller,1487,5,6.6,10.9,6.0,1044143,1987650,52,100268,10.4,107,Lionsgate,Emilie Peters,"actress,miscellaneous,director"
2010-12-25,gulliver's travels,"adventure,comedy,family",1282,61178,5.1,10.8,4.9,42779261,112000000,38,6307691,6.8,3089,20th Cent…,Joe Stillman,"writer,producer,miscellaneous"
2010-09-24,legend of the guardians the owls of ga'hoole,"action,adventure,animation",1223,73790,6.6,10.8,7.0,55675313,100000000,55,16112211,3.5,3575,Warner Bros.,Kathryn Lasky,"writer,producer"
2010-01-15,the spy next door,"action,comedy,family",650,36767,5.7,10.7,5.5,24307106,28000000,86,9726056,2.5,2924,Lionsgate,James Greer,"writer,director,cinematographer"
2010-10-15,jackass 3d,"action,comedy,documentary",655,53289,6.3,10.7,7.0,117229692,20000000,586,50353641,2.3,3139,Paramount…,Spike Jonze,"producer,director,writer"
2010-11-10,morning glory,"comedy,drama,romance",717,67367,6.3,10.6,6.5,31011732,40000000,77,9203266,3.4,2544,Paramount…,Aline Brosh McKenna,"writer,producer,soundtrack"
2010-07-30,cats  dogs the revenge of kitty galore,"action,comedy,family",273,12642,4.9,10.5,4.3,43585753,85000000,51,12279363,3.5,3705,Warner Bros.,Steve Bencich,"writer,actor,assistant_director"
2010-12-17,the fighter,"biography,drama,sport",2325,316539,7.3,10.4,7.8,93617009,11000000,851,300010,312.0,2534,Paramount…,Scott Silver,"writer,director,producer"
2010-12-10,the tourist,"action,adventure,thriller",3133,206714,6.1,10.3,6.0,67631157,100000000,67,16472458,4.1,2756,Sony Pict…,Christopher McQuarrie,"writer,producer,director"
2010-06-04,killers,"action,comedy,romance",1314,82237,5.8,10.2,5.4,47059963,75000000,62,15837266,3.0,2859,Lionsgate,Bob DeRosa,"writer,miscellaneous,producer"
2010-09-24,you again,"comedy,family,romance",734,46690,6.2,10.2,5.8,25702053,20000000,128,8407513,3.1,2548,Walt Disney,Moe Jelline,"writer,miscellaneous,producer"
2010-09-17,devil,"horror,mystery,thriller",1516,122080,5.9,10.2,6.2,33679655,10000000,336,12289375,2.7,2811,Universal,Brian Nelson,"producer,writer"
2010-04-23,the losers,"action,adventure,crime",844,83876,6.2,10.2,6.4,23591432,25000000,94,9406348,2.5,2936,Warner Bros.,Peter Berg,"producer,actor,writer"
2010-03-26,hot tub time machine,"comedy,sci-fi",1383,153962,6.0,10.2,6.4,50269859,36000000,139,14020502,3.6,2771,MGM,Josh Heald,"writer,producer,actor"
2010-10-08,it's kind of a funny story,"comedy,drama,romance",1324,125583,7.0,10.0,7.1,6363628,8000000,79,2013406,3.2,757,Focus Fea…,Ryan Fleck,"director,writer,cinematographer"
2010-08-12,eat pray love,"drama,romance",1208,77709,6.0,10.0,5.8,80574010,60000000,134,23104523,3.5,3108,Sony Pict…,Ryan Murphy,"writer,producer,music_department"
2010-05-27,sex and the city 2,"comedy,drama,romance",809,69199,5.9,10.0,4.4,95347692,95000000,100,31001870,3.1,3445,Warner Bros.,Candace Bushnell,"writer,producer"
2010-11-05,four lions,"comedy,crime,drama",621,66209,7.0,10.0,7.3,310007,3750000,8,41512,7.5,18,Drafthous…,Christopher Morris,"actor,writer,composer"
2010-03-19,the bounty hunter,"action,comedy,romance",1627,112444,5.7,9.9,5.6,67061228,45000000,149,20686423,3.2,3118,Sony Pict…,Sarah Thorp,"producer,writer,director"
2010-10-08,my soul to take,"horror,mystery,thriller",247,18381,5.4,9.8,4.8,14744435,25000000,58,6842220,2.2,2572,Universal,Wes Craven,"writer,producer,director"
2010-04-30,a nightmare on elm street,"crime,drama,horror",1408,85497,5.5,9.8,5.2,63075011,35000000,180,32902299,1.9,3332,Warner Bros.,Wes Craven,"writer,producer,director"
2010-08-06,flipped,"drama,thriller",859,440,7.4,9.8,6.0,1755212,14000000,12,224233,7.8,442,Warner Bros.,Harris Demel,"producer,director,actor"
2015-12-15,flipped,"drama,thriller",2,440,7.0,1.0,6.0,1755212,14000000,12,224233,7.8,442,Warner Bros.,Harris Demel,"producer,director,actor"
2010-10-01,let me in,"drama,fantasy,horror",1061,107012,6.7,9.7,7.1,12134935,20000000,60,5147479,2.4,2042,Overture …,John Ajvide Lindqvist,writer
2016-06-20,let me in,"drama,fantasy,horror",2,107012,7.0,0.7,7.1,12134935,20000000,60,5147479,2.4,2042,Overture …,John Ajvide Lindqvist,writer
2010-02-05,frozen,"adventure,drama,sport",987,62311,5.8,9.7,6.2,400953009,150000000,267,243390,1647.4,3742,Walt Disney,Adam Green,"writer,producer,director"
2010-02-05,frozen,"adventure,drama,sport",987,62311,5.8,9.7,6.2,246177,150000000,0,131395,1.9,106,Anchor Ba…,Adam Green,"writer,producer,director"
2013-11-27,frozen,"adventure,drama,sport",9767,62311,7.3,26.2,6.2,400953009,150000000,267,243390,1647.4,3742,Walt Disney,Adam Green,"writer,producer,director"
2013-11-27,frozen,"adventure,drama,sport",9767,62311,7.3,26.2,6.2,246177,150000000,0,131395,1.9,106,Anchor Ba…,Adam Green,"writer,producer,director"
2010-10-08,inside job,"crime,documentary",466,65304,7.8,9.5,8.3,4311834,2000000,215,39649,108.8,250,Sony Pict…,Chad Beck,"editor,writer,editorial_department"
2010-05-01,charlie st cloud,"drama,fantasy,romance",1398,55016,6.9,9.5,6.5,31206263,44000000,70,12381585,2.5,2725,Universal,Lewis Colick,writer
2010-04-02,furry vengeance,"comedy,family",283,14700,4.6,9.4,3.8,17630465,35000000,50,6627564,2.7,3002,Summit En…,Josh Gilbert,"miscellaneous,actor,writer"
2010-12-17,casino jack,"biography,comedy,crime",149,16191,6.1,9.4,6.2,2039869,12500000,16,34528,59.1,60,Samuel Go…,Norman Snider,"writer,actor,producer"
2010-05-14,letters to juliet,"adventure,comedy,drama",1706,86137,6.9,9.4,6.6,53032453,30000000,176,13540486,3.9,2975,Summit En…,Tim Sullivan,"director,writer,miscellaneous"
2010-12-16,rabbit hole,drama,292,45357,6.8,9.4,7.0,2229058,5000000,44,53778,41.4,131,Lionsgate,David Lindsay-Abaire,"writer,soundtrack,music_department"
2010-08-27,the last exorcism,"drama,horror,thriller",519,45815,5.6,9.4,5.6,41034350,1800000,2279,20366613,2.0,2874,Lionsgate,Andrew Gurland,"producer,writer,director"
2010-03-31,the last song,"drama,music,romance",2199,74914,7.2,9.2,6.0,62950384,20000000,314,16007426,3.9,2794,Walt Disney,Nicholas Sparks,"writer,producer"
2010-12-17,yogi bear,"adventure,animation,comedy",387,18934,5.3,9.1,4.6,100246011,80000000,125,16411322,6.1,3515,Warner Bros.,Joseph Barbera,"producer,director,writer"
2010-10-08,secretariat,"biography,drama,family",200,24536,7.0,9.1,7.2,59699513,35000000,170,12694770,4.7,3108,Walt Disney,William Nack,"writer,actor,miscellaneous"
2010-09-01,the american,"crime,drama,thriller",690,86863,5.8,9.0,6.3,35606376,20000000,178,13177790,2.7,2833,Focus Fea…,Martin Booth,"writer,miscellaneous"
2010-12-29,blue valentine,"drama,romance",1677,170089,6.9,9.0,7.4,9737892,1000000,973,193728,50.3,450,Weinstein…,Derek Cianfrance,"director,writer,cinematographer"
2010-08-18,vampires suck,comedy,658,43984,4.1,9.0,3.4,36661504,20000000,183,12202831,3.0,3233,20th Cent…,Jason Friedberg,"writer,director,producer"
2010-08-26,takers,"action,crime,thriller",605,53377,6.2,9.0,6.2,57744720,32000000,180,20512304,2.8,2206,Sony Pict…,Peter Allen,"writer,director,producer"
2010-11-12,skyline,"action,sci-fi,thriller",833,83710,4.8,8.8,4.4,21416355,10000000,214,11692415,1.8,2883,Universal,Joshua Cordes,"visual_effects,writer,director"
2010-02-26,cop out,"action,comedy,crime",796,81656,5.4,8.8,5.6,44875481,37000000,121,18211126,2.5,3150,Warner Bros.,Mark Cullen,"writer,producer,director"
2010-10-01,stake land,"drama,horror,sci-fi",415,38749,6.2,8.8,6.5,33245,4000000,0,7258,4.6,5,IFC Films,Nick Damici,"actor,writer,producer"
2010-11-23,burlesque,"drama,music,musical",1195,71021,7.1,8.7,6.4,39440655,55000000,71,11947744,3.3,3037,Sony Pict…,Steve Antin,"actor,writer,producer"
2010-01-01,ca$h,"crime,thriller",112,8605,5.8,8.5,6.0,46488,7000000,0,16469,2.8,43,Roadside …,Stephen Milburn Anderson,"producer,writer,production_manager"
2010-06-04,marmaduke,"comedy,family",367,13283,5.1,8.5,4.2,33644788,50000000,67,11599661,2.9,3213,20th Cent…,Vince Di Meglio,"visual_effects,writer,editor"
2010-06-04,get him to the greek,"adventure,comedy,music",980,161653,5.9,8.5,6.4,61153526,40000000,152,17570955,3.5,2702,Universal,Jason Segel,"actor,soundtrack,writer"
2010-07-09,the kids are all right,"comedy,drama,romance",854,120656,6.6,8.4,7.0,20811365,4000000,520,491971,42.3,994,Focus Fea…,Stuart Blumberg,"writer,actor,producer"
2010-11-06,don't be afraid of the dark,"fantasy,horror,thriller",550,44490,5.5,8.4,5.6,24046682,25000000,96,8525728,2.8,2780,FilmDistrict,Nigel McKeand,"producer,actor,writer"
2010-09-03,going the distance,"comedy,romance",394,54421,6.0,8.3,6.3,17804299,32000000,55,6884964,2.6,3030,Warner Bros.,Geoff LaTulippe,writer
2010-12-03,the warrior's way,"action,fantasy,western",203,24271,6.1,8.3,6.3,5666340,42000000,13,3048665,1.9,1622,Relativity,Scott Reynolds,"director,writer"
2010-03-19,the runaways,"biography,drama,music",448,43792,6.4,8.2,6.6,3573673,9500000,37,805115,4.4,244,Apparition,Cherie Currie,"actress,soundtrack,writer"
2010-10-21,paranormal activity 2,horror,1342,93122,5.7,8.2,5.7,84752907,3000000,2825,40678424,2.1,3239,Paramount…,Christopher Landon,"writer,producer,director"
2010-10-22,hereafter,"drama,fantasy,romance",848,87288,5.9,7.9,6.5,32746941,50000000,65,220322,148.6,2424,Warner Bros.,Peter Morgan,"writer,producer,actor"
2010-12-03,all good things,"crime,drama,mystery",493,49684,6.0,7.9,6.3,582024,20000000,2,37172,15.7,35,Magnolia …,Marc Smerling,"producer,director,writer"
2010-02-12,the ghost writer,"drama,mystery,thriller",1135,148274,6.8,7.8,7.2,15541549,45000000,34,183009,84.9,819,Summit En…,Roman Polanski,"actor,director,writer"
2010-03-12,she's out of my league,"comedy,romance",970,117245,6.1,7.8,6.4,32010860,20000000,160,9775278,3.3,2958,Paramount…,Sean Anders,"writer,director,producer"
2010-08-20,the switch,"comedy,drama,romance",1008,90661,6.1,7.7,6.1,27758465,19000000,146,8436713,3.3,2017,Miramax,Jeffrey Eugenides,"writer,actor"
2010-06-18,cyrus,"crime,horror,mystery",201,944,6.0,7.7,4.7,7468936,7000000,106,181716,41.1,454,Fox Searc…,Mark Vadik,"writer,producer,director"
2010-08-20,lottery ticket,comedy,92,10042,5.7,7.7,5.0,24719879,17000000,145,10652297,2.3,1973,Warner Bros.,Erik White,"director,writer"
2010-05-21,macgruber,"action,comedy,romance",270,39782,5.3,7.7,5.5,8525600,10000000,85,4043495,2.1,2551,Universal,Will Forte,"actor,writer,producer"
2010-12-22,somewhere,"comedy,drama",376,40250,6.1,7.6,6.3,1785645,7000000,25,119086,15.0,83,Focus Fea…,Sofia Coppola,"actress,director,writer"
2010-12-22,country strong,"drama,music",126,16296,6.3,7.6,6.3,20218921,15000000,134,30452,664.0,1441,Sony Pict…,Shana Feste,"director,writer,actress"
2010-11-24,the nutcracker in 3d,"action,family,fantasy",97,3119,5.5,7.6,4.3,195459,90000000,0,65944,3.0,115,Freestyle…,Andrey Konchalovskiy,"writer,director,producer"
2010-10-15,conviction,"biography,crime,drama",297,39771,7.2,7.5,7.2,6797696,12500000,54,102351,66.4,672,Fox Searc…,Pamela Gray,writer
2010-07-23,ramona and beezus,"adventure,comedy,family",460,16086,6.3,7.4,6.6,26167002,15000000,174,7810481,3.4,2719,20th Cent…,Beverly Cleary,writer
2010-10-08,meek's cutoff,"drama,western",113,10439,6.5,7.3,6.6,977772,2000000,48,20042,48.8,45,Oscillosc…,Jonathan Raymond,"writer,producer,miscellaneous"
2010-01-22,hesher,"comedy,crime,drama",335,48483,7.0,7.1,7.0,382946,7000000,5,126046,3.0,42,Wrekin Hi…,Spencer Susser,"editor,director,writer"
2010-05-14,just wright,"comedy,romance,sport",211,12466,6.2,7.0,5.9,21540363,12000000,179,8284989,2.6,1831,Fox Searc…,Michael Elliot,"writer,producer"
2010-04-15,death at a funeral,comedy,439,42042,5.7,6.9,5.7,42739347,21000000,203,16217540,2.6,2459,Sony Pict…,Dean Craig,"writer,producer,director"
2010-12-17,how do you know,"comedy,drama,romance",453,41072,5.1,6.8,5.4,30212620,120000000,25,7484696,4.0,2483,Sony Pict…,James L. Brooks,"writer,producer,miscellaneous"
2010-11-12,tiny furniture,"comedy,drama,romance",82,13397,5.9,6.7,6.2,391674,50000,783,21235,18.4,21,IFC Films,Lena Dunham,"writer,actress,producer"
2010-04-02,why did i get married too,"comedy,drama,romance",49,8653,5.9,6.6,4.6,60095852,20000000,300,29289537,2.1,2155,Lionsgate,Tyler Perry,"writer,director,producer"
2010-07-30,dinner for schmucks,comedy,920,91546,5.6,6.6,5.9,73026337,69000000,105,23527839,3.1,3046,Paramount…,Francis Veber,"writer,director,producer"
2010-04-16,the joneses,"comedy,drama",312,87,6.2,6.4,6.9,1475746,10000000,14,507082,2.9,217,Roadside …,Chris Tyrrell,"writer,producer,director"
